iter	Passed	Remaining
160	506	2638
161	508	2629
162	510	2621
163	512	2613
164	516	2611
165	518	2604
166	520	2595
167	522	2588
168	524	2581
169	527	2573
170	530	2570
171	532	2563
172	535	2558
173	537	2550
174	539	2542
175	542	2540
176	545	2537
177	548	2531
178	551	2527
179	552	2518
180	555	2513
181	558	2509
182	560	2503
183	562	2496
184	564	2488
185	567	2483
186	569	2477
187	572	2471
188	575	2467
189	576	2459
190	578	2452
191	581	2447
192	583	2439
193	585	2432
194	588	2428
195	590	2424
196	593	2417
197	595	2410
198	597	2403
199	598	2395
200	601	2391
201	604	2387
202	607	2385
203	609	2380
204	612	2373
205	614	2369
206	616	2363
207	619	2357
208	621	2350
209	623	2344
210	625	2337
211	627	2331
212	629	2324
213	631	2317
214	634	2316
215	636	2311
216	639	2308
217	641	2302
218	643	2295
219	646	2291
220	648	2287
221	651	2281
222	653	2276
223	655	2271
224	657	2265
225	660	2261
226	663	2258
227	665	2254
228	667	2248
229	669	2241
230	671	2236
231	673	2230
232	675	2224
233	677	2218
234	679	2213
235	681	2207
236	683	2201
237	686	2197
238	688	2192
239	690	2186
240	694	2185
241	696	2180
242	699	2177
243	701	2173
244	703	2167
245	705	2163
246	708	2159
247	711	2156
248	713	2151
249	715	2145
250	716	2139
251	718	2133
252	720	2127
253	722	2121
254	724	2118
255	727	2113
256	729	2108
257	731	2104
258	733	2098
259	735	2092
260	737	2088
261	739	2083
262	742	2079
263	744	2076
264	746	2071
265	748	2065
266	751	2062
267	753	2058
268	755	2053
269	758	2049
270	759	2044
271	761	2039
272	763	2034
273	766	2029
274	768	2025
275	771	2023
276	773	2018
277	775	2013
278	777	2008
279	779	2003
280	780	1997
281	783	1994
282	785	1990
283	789	1989
284	791	1986
285	794	1983
286	799	1985
287	802	1983
288	805	1980
289	807	1976
290	809	1973
291	812	1969
292	814	1965
293	817	1962
294	819	1958
295	821	1954
296	824	1951
297	826	1947
298	829	1944
299	832	1942
300	834	1937
301	836	1933
302	838	1928
303	840	1923
304	842	1920
305	845	1917
306	847	1913
307	850	1909
308	851	1904
309	853	1900
310	855	1896
311	857	1891
312	860	1888
313	862	1884
314	864	1880
315	866	1874
316	868	1872
317	870	1867
318	872	1863
319	875	1860
320	878	1857
321	879	1852
322	882	1849
323	884	1845
324	886	1840
325	888	1837
326	890	1833
327	892	1828
328	894	1824
329	896	1819
330	898	1815
331	900	1811
332	902	1807
333	904	1803
334	906	1799
335	908	1795
336	910	1791
337	912	1786
338	915	1784
339	917	1781
340	920	1778
341	922	1775
342	925	1772
343	928	1769
344	930	1766
345	932	1763
346	937	1763
347	940	1761
348	942	1758
349	944	1754
350	947	1751
351	950	1749
352	952	1745
353	954	1741
354	955	1736
355	957	1732
356	959	1728
357	961	1724
358	963	1719
359	965	1715
360	967	1712
361	969	1707
362	970	1703
363	972	1699
364	974	1695
365	976	1690
366	977	1686
367	979	1682
368	982	1679
369	983	1675
370	985	1671
371	987	1667
372	989	1663
373	991	1659
374	993	1656
375	996	1652
376	998	1649
377	1000	1645
378	1001	1641
379	1003	1637
380	1006	1634
381	1008	1630
382	1010	1627
383	1012	1623
384	1013	1619
385	1015	1615
386	1017	1611
387	1020	1610
388	1024	1608
389	1026	1606
390	1029	1603
391	1031	1599
392	1033	1596
393	1035	1592
394	1037	1588
395	1039	1585
396	1041	1582
397	1044	1579
398	1046	1576
399	1049	1573
400	1051	1570
401	1053	1567
402	1055	1563
403	1057	1560
404	1060	1558
405	1062	1554
406	1064	1550
407	1066	1547
408	1069	1545
409	1071	1541
410	1073	1538
411	1076	1536
412	1078	1532
413	1080	1528
414	1082	1525
415	1083	1521
416	1086	1519
417	1089	1516
418	1091	1512
419	1093	1509
420	1095	1506
421	1096	1502
422	1099	1499
423	1101	1496
424	1104	1494
425	1106	1491
426	1108	1487
427	1110	1483
428	1113	1481
429	1115	1478
430	1117	1474
431	1119	1472
432	1122	1469
433	1124	1466
434	1127	1463
435	1129	1460
436	1132	1459
437	1136	1458
438	1142	1459
439	1144	1456
440	1146	1453
441	1148	1450
442	1151	1447
443	1153	1444
444	1156	1442
